id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1114695,"100s Walkscore Garage Deck, Zoo, Green Lake, Fire Place",165390,SeattleStays - Seth Gordon,Other neighborhoods,Wallingford,47.66215,-122.33879,Entire home/apt,512,25,75,2022-01-13,0.68,4,51,3,STR-OPLI-19-001606
447523,Bedroom in artistic Northwest home A,2222321,Deb,Other neighborhoods,Wedgwood,47.68387,-122.29024,Private room,58,3,202,2022-06-06,1.66,1,263,2,STR-OPLI-20-000733
1122236,MODERN LUXURY on Capitol Hill,1121532,Melissa,Capitol Hill,Broadway,47.62383,-122.32381,Entire home/apt,195,30,139,2022-05-10,1.26,10,258,2,STR-OPLI-19-002120
461234,Browns House Guest Apt. in Ballard,1870781,Diana,Ballard,Whittier Heights,47.68444,-122.37338,Entire home/apt,99,4,334,2022-06-12,2.74,1,289,29,STR-OPLI-19-003175
475361,NE Seattle Artist Treehouse Suite!,2342082,Marilyn,Lake City,Cedar Park,47.71652,-122.29126,Private room,77,30,116,2019-08-26,0.96,1,120,0,
1125133,Elegant & Quiet walk to UW (49),3074414,Melissa,University District,University District,47.65908,-122.31771,Entire home/apt,120,30,36,2021-09-05,0.32,107,250,1,STR-OPLI-20-000157
1146966,Artsy home in terrific Fremont neighborhood,3921530,Ann Petrich,Other neighborhoods,Fremont,47.65474,-122.3526,Private room,98,4,301,2022-06-07,2.74,3,42,11,STR-OPLI-19-001657
490076,Super cute w/gardens & charm. Great location!,3921530,Ann Petrich,Other neighborhoods,Fremont,47.65617,-122.35262,Entire home/apt,132,4,398,2022-05-28,4.06,3,31,17,STR-OPLI-19-001657
491958,Columbia City Treehouse Vacation Rental,2431399,Jay,Rainier Valley,Columbia City,47.56007,-122.27873,Entire home/apt,79,2,395,2022-06-10,3.27,1,232,41,STR-OPLI-19-001047
1150519,Classic Craftsman - 95 Walk Score!,6305984,Sarah,University District,University District,47.67113,-122.31419,Entire home/apt,300,30,18,2021-08-29,0.17,1,273,1,
493591,the 5-star  house-# 5-> Marilyn Monroe's room,2438665,Flor,Other neighborhoods,Crown Hill,47.7019,-122.36781,Private room,95,30,181,2021-02-03,1.49,4,314,0,STR-OPLI-19-002472
544433,"8, Sparkling Seattle Center",2612779,Serina,Queen Anne,Lower Queen Anne,47.61957,-122.35655,Entire home/apt,95,30,441,2019-09-02,3.63,1,287,0,
1157083,Modern 2BR/2BA By ConventionCenter,3294357,Grace,Downtown,First Hill,47.61248,-122.32861,Entire home/apt,285,3,70,2022-06-07,0.64,2,313,11,STR-OPLI-19-002769
1159111,St. John's Apt. 203 *Walkscore 99*,1787819,Saint,Downtown,First Hill,47.61385,-122.32245,Entire home/apt,204,3,137,2022-05-22,1.25,3,96,17,STR-OPLI-19-001273
552325,Amazing WaterView Condo near UW + Eastlake - 2B/1B,306615,Tara,Capitol Hill,Portage Bay,47.65043,-122.32021,Entire home/apt,229,30,31,2021-12-28,0.29,3,66,3,
564220,Cute Bungalow #2 - near Light Rail,2774354,Kristin,Rainier Valley,Mount Baker,47.57783,-122.29251,Private room,60,2,196,2021-10-03,1.64,1,144,1,STR-OPLI-19-001749
1171574,Private Entrance and Central,4485958,Phil And Andrea,Central Area,Madrona,47.60962,-122.2952,Entire home/apt,76,4,542,2022-06-06,4.93,2,152,59,STR-OPLI-19-000461
565703,Garden Apartment in Madison Valley,2781551,Ron,Central Area,Mann,47.62125,-122.29697,Entire home/apt,179,30,317,2022-03-28,2.82,3,315,6,STR-OPLI-19-001833
1175308,Ballard oasis in the pacific Northwest,6432543,Jenny,Ballard,Loyal Heights,47.6781,-122.38932,Entire home/apt,180,4,18,2021-08-24,0.17,1,263,5,STR-OPLI-19-003252
1190224,A Quiet Room in a House by the Lake,6506114,Andy,Lake City,Matthews Beach,47.69414,-122.27722,Private room,60,30,30,2019-09-07,0.28,2,318,0,
566435,"""The 5-Star House"" - # 6->The Hawaiian room",2438665,Flor,Other neighborhoods,Crown Hill,47.70084,-122.36738,Private room,75,30,90,2019-04-28,0.76,4,135,0,STR-OPLI-19-002472
573942,Queen Bee room w/cooling memory foam bed,30559,Angielena,Other neighborhoods,Georgetown,47.54916,-122.31819,Private room,70,2,203,2022-05-30,1.70,8,322,28,STR-OPLI-19-003039
1190571,A Quiet Room in a House by the Lake,6506114,Andy,Lake City,Matthews Beach,47.69413,-122.2762,Private room,60,30,27,2019-07-21,0.25,2,342,0,
598023,West Seattle Home at Alaska Junction!,2613029,Jeffrey,West Seattle,Genesee,47.56162,-122.38812,Private room,129,3,21,2021-09-17,0.19,1,363,5,STR-OPLI-19-000822
604600,Seattle 1 br,103427,Jacqueline M,Downtown,Central Business District,47.61326,-122.33148,Entire home/apt,282,30,1,2014-09-11,0.01,2,365,0,Exempt
1219691,Sweet 1920's cottage in N. Seattle,6654033,"April, Mike, And Maggie",Northgate,Haller Lake,47.73206,-122.33943,Entire home/apt,139,30,65,2021-12-20,0.59,1,250,2,STR-OPLI-20-000033
607788,Seattle studio,103427,Jacqueline M,Downtown,Central Business District,47.61317,-122.33346,Private room,232,2,2,2013-10-17,0.02,2,363,0,Exempt
609252,"Sans souci in Seattle: Clean, fresh air (4 guests)",3018655,Louise,Other neighborhoods,Greenwood,47.69647,-122.36322,Entire home/apt,275,30,3,2020-09-26,0.05,1,43,0,STR-OPLI-19-002887
1256892,Daisy Mae's Guest Space - Phinney Ridge,6846442,Laurie,Other neighborhoods,Phinney Ridge,47.67758,-122.35822,Entire home/apt,107,2,247,2022-06-08,2.26,1,118,25,STR-OPLI-19-000499
609610,A place to stay: studio apartment,3022709,Laura,Rainier Valley,Columbia City,47.56994,-122.29403,Entire home/apt,95,3,24,2022-05-16,0.20,2,166,2,STR-OPLI-22-000371
609701,Charming Fremont Garden Cottage,3023407,Nan,Other neighborhoods,Fremont,47.65607,-122.35899,Entire home/apt,99,4,550,2022-06-08,4.57,1,176,21,STR-OPLI-19-001007
1260259,Zen Garden Oasis,3009864,Jessica,Magnolia,Lawton Park,47.66046,-122.40292,Entire home/apt,160,2,123,2022-06-05,1.13,1,6,21,STR-OPLI-21-000222
1265651,Quiet Top floor 2 bdrs 2 baths UW & Trail W/D 401,3074414,Melissa,University District,University District,47.66456,-122.3046,Entire home/apt,170,30,31,2022-05-20,0.31,107,226,3,STR-OPLI-19-002570
611509,Craftsman with Private Bath & A/C,3032548,Joanna,Other neighborhoods,Wallingford,47.6638,-122.33827,Private room,80,30,83,2020-09-05,0.69,1,164,0,STR-OPLI-19-002927
1273432,Mod Green Built Home Central Seattle,6931145,Karen,Central Area,Minor,47.60188,-122.30785,Entire home/apt,304,30,34,2021-08-24,0.31,1,57,4,STR-OPLI-19-002335
620518,Spacious quiet/deck Ravenna UW 04-5,3074414,Melissa,Other neighborhoods,Ravenna,47.67489,-122.29078,Entire home/apt,115,30,11,2022-02-09,0.09,107,263,3,STR-OPLI-19-002570
1299597,Newly Renovated Modern 2BR Basement Apt in Leschi,7066141,Kimberly,Central Area,Leschi,47.601788091761584,-122.29357443423366,Entire home/apt,125,3,1,2022-06-02,1,1,50,1,STR-OPLI-22-000851
631445,Work from this Belltown View Condo,3139639,Alicia,Downtown,Belltown,47.61373,-122.34887,Entire home/apt,95,30,169,2022-04-22,1.41,1,24,5,
1301535,2 Huge Private Rooms + Common Area,468703,Corinne & Tom,Ballard,Loyal Heights,47.68359,-122.38034,Entire home/apt,111,2,309,2022-05-22,3.15,1,91,42,STR-OPLI-19-000874
635878,"Center UW Remodeled in 2021, Spacious 2 Beds (203)",3074414,Melissa,University District,University District,47.66313,-122.31428,Entire home/apt,108,2,38,2022-06-08,0.35,107,289,8,STR-OPLI-19-002641
637710,Roots at the Center of the Universe,3181546,Farhad,Other neighborhoods,Fremont,47.653,-122.35595,Entire home/apt,240,2,126,2022-06-12,1.10,1,299,15,STR-OPLI-19-003215
1351716,Sparkling Clean Guest House: Short/Long Rental,6592975,Huong And Bill,Central Area,Atlantic,47.59674,-122.30964,Entire home/apt,92,30,252,2022-04-30,2.32,1,209,5,19-000920
1355094,Capitol Hill Excursion,5112492,Leah,Capitol Hill,Broadway,47.62195,-122.32262,Private room,35,30,172,2022-05-13,1.59,4,8,4,
1356339,"Capitol Hill MODERN Apt,Great Location!",1121532,Melissa,Capitol Hill,Broadway,47.62235,-122.32594,Entire home/apt,200,30,186,2022-05-07,1.75,10,288,16,STR-OPLI-19-001708
1365882,Serene W/D walk to UW/U Village 203,3074414,Melissa,University District,University District,47.66178,-122.30149,Entire home/apt,125,30,35,2022-05-07,0.33,107,329,1,STR-OPLI-19-002570
654734,Gorgeous Downtown/Convention Condo,3294357,Grace,Downtown,First Hill,47.61311,-122.32947,Entire home/apt,168,30,83,2021-10-01,0.71,2,354,1,
661708,Elegant Madison Park Townhome,3340441,Roberta,Central Area,Harrison/Denny-Blaine,47.62563,-122.29181,Entire home/apt,245,30,10,2019-10-21,0.20,1,285,0,
1407502,Private garden room in hip Ballard,6136210,Nicole,Ballard,West Woodland,47.67306,-122.36651,Private room,70,30,27,2019-09-05,0.28,1,306,0,STR-OPLI-19-003088
1647216,"Center UW New, Fancy & Cute, 04",3074414,Melissa,University District,University District,47.66281,-122.31305,Entire home/apt,101,30,23,2021-03-24,0.24,107,277,0,STR-OPLI-20-000157
1417880,Center UW 2 beds large Quiet  (210),3074414,Melissa,University District,University District,47.66139,-122.31495,Entire home/apt,108,3,33,2022-05-30,0.30,107,303,6,STR-OPLI-19-002641
1684236,Seattle Downtown Attractions & Convention Center,8905591,David,Downtown,First Hill,47.61215,-122.32971,Entire home/apt,120,20,187,2022-01-12,1.77,1,252,5,STR-OPLI-21-000010
1439237,Beautiful Madrona Large Private,7730805,Stephanie,Central Area,Leschi,47.6076,-122.29081,Private room,88,31,93,2022-04-21,0.86,2,165,1,STR-OPLI-19-001790
1686930,Walk to Space Needle Vintage View House with King Bed,8916363,Paige,Queen Anne,West Queen Anne,47.63059,-122.36509,Entire home/apt,199,1,496,2022-06-07,4.69,3,52,101,STR-OPLI-19-001889
1455269,Seattle/Columbia City Mother-in-Law,7804761,Yvonne,Rainier Valley,Columbia City,47.56591,-122.28939,Entire home/apt,120,3,201,2022-06-05,1.87,1,281,3,STR-OPLI-19-002382
1484595,Steps to UW Center of attraction Modem & Cable TV,3074414,Melissa,University District,University District,47.65865,-122.31784,Entire home/apt,105,30,35,2022-04-30,0.33,107,311,2,STR-OPLI-19-002570
1696015,Waterfront on Northshore of Seattle's Elliott Bay,8956137,William,Magnolia,Briarcliff,47.63232,-122.39463,Entire home/apt,375,30,42,2021-07-31,0.42,3,271,1,STR-OPLI-19-001140
1488166,Entire Ballard Home - Beautiful Sunset Hill,1212520,Jeremy And Rachael,Ballard,Sunset Hill,47.67595,-122.40073,Entire home/apt,295,7,66,2020-07-30,0.61,4,0,0,STR-OPLI-20-000090
1493349,Univ Village Walk to UW   Comfortable 5507,3074414,Melissa,Other neighborhoods,Ravenna,47.66822,-122.2986,Entire home/apt,120,30,41,2020-07-31,0.38,107,304,0,
1494828,Modern and Clean 2 Bedroom in Eastlake/Lake Union,316200,William,Cascade,Eastlake,47.63996,-122.32414,Entire home/apt,142,30,239,2022-04-27,2.23,7,277,5,
