,id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,zipcode
3162,49569405,Rainier Valley,Rainier View,47.50398,-122.26388,Entire home/apt,99,98178
3163,49209662,Downtown,Central Business District,47.61183,-122.33931,Private room,139,98101
3164,49570751,Magnolia,Southeast Magnolia,47.64705,-122.38911,Entire home/apt,1000,98199
3165,49572155,Northgate,North College Park,47.69253,-122.34162,Entire home/apt,254,98103
3166,49211457,Downtown,Belltown,47.61781,-122.33129,Entire home/apt,3000,98101
3167,49573435,Ballard,West Woodland,47.66901,-122.36659,Entire home/apt,507,98107
3168,49574865,Downtown,Belltown,47.61595,-122.34869,Entire home/apt,162,98121
3169,49219256,Downtown,International District,47.59984,-122.32596,Private room,125,98104
3170,49229073,Downtown,Central Business District,47.6125318,-122.3332872,Hotel room,0,98101
3171,49587954,Rainier Valley,Columbia City,47.55197,-122.28062,Entire home/apt,550,98118
3172,49229904,Ballard,Whittier Heights,47.67671,-122.36836,Entire home/apt,314,98117
3173,49233924,Queen Anne,Lower Queen Anne,47.62357,-122.35411,Entire home/apt,115,98109
3174,49245495,Downtown,Central Business District,47.6079,-122.33801,Entire home/apt,552,98101
3175,49246564,Rainier Valley,Columbia City,47.56013,-122.29059,Entire home/apt,121,98118
3176,49589798,West Seattle,Alki,47.58185,-122.4026,Entire home/apt,358,98116
3177,49247736,Other neighborhoods,Fremont,47.65929,-122.35469,Entire home/apt,146,98103
3178,49590758,Other neighborhoods,Roosevelt,47.67658,-122.31467,Entire home/apt,153,98115
3179,49249731,Capitol Hill,Broadway,47.62405,-122.31398,Entire home/apt,127,98112
3180,49249759,Capitol Hill,Broadway,47.62124,-122.31823,Entire home/apt,166,98102
3181,49249981,Capitol Hill,Broadway,47.62062,-122.32,Entire home/apt,177,98102
3182,49592590,Magnolia,Southeast Magnolia,47.64673,-122.39103,Entire home/apt,141,98199
3183,49251550,Downtown,International District,47.59984,-122.32596,Private room,138,98104
3184,49254280,Other neighborhoods,Green Lake,47.68039,-122.3235,Entire home/apt,101,98115
3185,49262712,Other neighborhoods,Wallingford,47.65555,-122.32801,Private room,50,98103
3186,49594062,Ballard,West Woodland,47.66632,-122.36563,Private room,110,98107
3187,49263829,Downtown,International District,47.59984,-122.32596,Private room,188,98104
3188,49594991,Cascade,Westlake,47.63642,-122.34179,Entire home/apt,136,98109
3189,49596878,Queen Anne,Lower Queen Anne,47.62391,-122.35593,Entire home/apt,124,98109
3190,49275438,Central Area,Madrona,47.61313,-122.29555,Entire home/apt,626,98122
3191,49290022,Ballard,Loyal Heights,47.67705,-122.39235,Entire home/apt,149,98117
3192,49597259,Ballard,West Woodland,47.66373,-122.36635,Entire home/apt,511,98107
3193,49300280,Downtown,International District,47.5987,-122.3253,Private room,135,98104
